1 1
0 1 0
69 1
6 52 24
22 1
7 11 14
13 1
4 12 3
59 1
2 58 13
76 1
2 22 48
90 2
1 2 49
3 34 80
24 2
0 16 23
3 5 15
50 2
9 25 6
0 8 8
89 3
1 37 5
9 44 18
6 55 62
100 4
9 39 98
3 48 44
1 96 1
6 1 9
50 5
4 18 39
4 17 6
8 16 26
0 4 31
1 33 32
69 8
3 56 45
6 54 1
5 42 56
6 51 11
0 34 19
6 13 48
8 44 66
9 41 41
29 10
1 22 17
5 -608180893 -791664043
1 16 2
3 14 14
7 24 23
0 12 13
8 20 23
2 0 1
7 -838538307 332520825
2 4 5
14 12
2 4 9
0 -970521400 757045099
7 446753091 -677159964
8 -509489735 -248122939
7 784910077 -834077402
6 658785123 633259261
1 9 2
9 -598550797 -994237841
0 958864881 -35117793
7 138263960 232132848
3 914574500 -217273074
2 3 0
94 100
9 49 76
5 35 72
4 59 22
5 74 20
8 8 23
5 66 25
8 0 66
8 92 52
7 30 27
6 90 39
0 12 89
9 68 5
3 7 46
1 39 64
2 33 59
5 40 68
7 10 40
2 21 81
6 67 41
9 24 81
2 62 13
3 6 41
1 79 56
2 65 87
0 67 53
3 43 30
8 27 62
1 66 37
8 87 77
3 15 78
7 38 83
2 93 33
1 38 19
6 72 0
7 83 52
2 47 35
2 8 85
8 28 81
1 90 62
3 18 67
7 66 58
4 36 51
8 54 85
7 18 83
3 93 12
6 21 71
1 11 62
0 2 76
6 22 33
3 93 82
0 13 44
8 21 58
5 41 79
4 36 13
3 75 74
9 51 52
2 90 28
0 49 90
0 70 43
2 16 47
8 93 20
6 21 4
1 67 0
2 9 72
4 3 90
9 78 67
7 38 35
0 41 92
1 65 17
4 86 64
2 -477422922 827477349
6 69 89
1 45 11
2 0 37
0 79 29
4 5 79
0 57 31
3 71 24
0 47 60
0 18 0
7 54 34
7 87 51
0 73 41
1 79 10
5 61 55
5 82 81
3 22 52
3 75 67
6 78 93
7 50 0
6 36 64
8 30 3
1 85 19
0 49 92
0 69 69
7 0 25
1 519306658 -881996387
5 42 4
0 31 22
3 85 8
43 1000
1 29 41
2 41 14
3 -594581763 -276795323
8 -25429718 701442298
0 31 40
9 134085005 417447366
3 13 29
6 36 22
7 8 12
7 26 42
9 454863580 595943177
3 3 39
2 29 17
1 13 39
3 9 33
5 33 23
8 645717407 -627556671
3 23 41
6 26 33
1 35 42
0 20 15
7 306926146 -723096334
4 -729510511 -112301153
2 25 1
5 46955779 -773674409
9 40 24
0 29 15
5 4 23
8 -291823933 365850637
1 6 35
4 155583210 416520980
0 13 37
1 654223651 -819805830
2 29 23
3 -555058092 -478923970
4 509901766 -49916487
5 -72768410 -722155497
8 -959752155 692295204
0 251081476 762307668
5 33 6
1 -774635445 -362938358
5 -933540312 -187046680
6 -931855755 -458200137
7 767277897 622112234
2 38 8
2 552534474 519867337
6 -567018863 756305290
0 -385375693 300229821
1 25619511 -740407110
0 31 36
1 12 24
6 136754846 -920609853
2 111121811 167748804
9 448443513 654814972
0 7 5
4 -374818777 -193494384
2 574080417 28157587
4 740899416 518288657
9 451827771 241186951
0 507189712 -872977806
0 29 1
9 -236883171 271657777
6 -764310891 30278367
7 641932429 -398354659
3 1 18
0 17 36
0 533206460 180105674
3 581152477 -703673403
0 -732491032 194317965
2 111370828 -831395802
9 -685860571 -388648131
2 -936041249 -785850176
9 -18621519 993176251
6 -260485983 -797850981
0 2 34
3 -273409190 -851802582
5 33985331 203509836
0 36 12
4 -978230924 124460544
2 6 0
1 264262217 551758318
2 950800625 -634041819
7 529990550 185647868
5 -18937948 -644093815
1 -639787083 967196287
8 -234791808 -319927070
6 176853706 -392252375
4 845424232 253421368
1 356569301 -857141096
5 941835487 691306390
0 9 6
6 920349576 805419262
4 -237009884 603143374
1 -387047524 -219049108
5 -750073037 300411873
9 -253515507 720579231
0 20 1
1 -104727786 -257629177
6 128659189 834310600
4 18 16
0 15 38
7 347167274 -731682379
5 833249345 635363873
7 990055558 -580580914
8 -44779309 -126645336
0 27 29
7 909044667 -890524161
0 13330009 550916638
8 4672097 94921791
7 585483842 955848363
4 414859374 -240837087
5 -189667241 42460684
2 464385117 -352316175
7 32 42
1 631285931 -932320770
4 351359335 275721709
0 4 20
2 584605683 292838659
0 -422526728 161164754
2 514725567 -849096508
2 691599412 938971941
0 -285178697 727451556
1 32 0
3 -338470879 -87605779
1 768751757 -96040654
2 -877717432 -55898986
2 -147647677 -320338940
7 -947076022 326573474
3 -69808247 370331265
2 747173416 109213198
1 41 36
5 214734604 -905921413
9 -851507765 921862030
3 -516822649 718380718
2 363479727 -591797844
4 114250840 -508125394
1 -938180271 707191725
5 -537909242 -953617195
4 681287409 36082922
8 153357578 550917880
1 26 18
1 -197755594 -265660884
0 -181371685 479275141
4 -43958305 -198933018
2 722602272 729007570
0 -621622025 355971125
3 381147093 234834651
4 -79381766 494749633
5 12748023 -286255202
3 -733512767 495358974
5 -916557665 -450413128
8 -466640404 -987233871
1 12 10
3 32 13
6 22091556 907764406
2 651249361 -701787868
0 231124216 139617575
0 -268455109 915900359
2 -969247648 -183172324
3 -978535511 -111274340
0 -833938857 -461546686
4 162152583 -131186231
5 845256098 322134729
6 -392725910 -766046442
1 -278615625 -404192647
2 80511648 71056937
6 -887590790 990888909
4 244733902 -259048191
8 -645820699 -339065818
